Intensity,Wavenumber
70,4548.223286
99.5,4546.258445
5.304347826,4544.2941
-167.5,4542.33025
-166,4540.366895
-116.5,4538.404034
97.66666667,4536.441669
inf,4534.479798
9.181818182,4532.518421
31.71428571,4530.557539
35,4528.597152
15.33333333,4526.637258
3,4524.677859
-29.5,4522.718953
11.8,4520.760541
-11.92857143,4518.802623
7.826086957,4516.845198
174,4514.888266
17.85,4512.931828
139,4510.975883
119,4509.020431
-14.86666667,4507.065472
-44.85714286,4505.111006
19.9,4503.157032
19.75,4501.203551
8.147058824,4499.250563
19.6,4497.298066
45.33333333,4495.346062
inf,4493.39455
-22.72727273,4491.443529
3.129032258,4489.493001
-82.33333333,4487.542964
-67.66666667,4485.593419
92.66666667,4483.644365
-23,4481.695802
4.794117647,4479.747731
-31.14285714,4477.80015
-100.5,4475.853061
25.33333333,4473.906462
57,4471.960354
11.23076923,4470.014737
-75.8,4468.06961
9.6,4466.124974
27.4,4464.180827
64.33333333,4462.237171
8,4460.294004
12.84210526,4458.351328
3.117647059,4456.409141
92.33333333,4454.467444
28.41666667,4452.526236
-12.57142857,4450.585517
44.14285714,4448.645288
9.96,4446.705548
-18.88888889,4444.766296
0.821428571,4442.827534
43,4440.88926
30.2,4438.951475
30.07692308,4437.014179
-26,4435.077371
-19.41666667,4433.141051
37.88888889,4431.205219
7.363636364,4429.269875
30.71428571,4427.335019
14.26666667,4425.400651
41.42857143,4423.46677
3.8125,4421.533377
34.4,4419.600471
39.4,4417.668052
10.5,4415.736121
86.5,4413.804677
-29.57142857,4411.873719
-32.4,4409.943249
-15.75,4408.013265
-14.55555556,4406.083767
22.8,4404.154756
15,4402.226231
inf,4400.298193
3.40625,4398.37064
32.83333333,4396.443574
84.33333333,4394.516993
-6.107142857,4392.590898
-25.375,4390.665288
3.363636364,4388.740164
28.8,4386.815525
28.54545455,4384.891371
-20,4382.967703
27.66666667,4381.044519
22.3,4379.121821
8.125,4377.199606
6.857142857,4375.277877
29.14285714,4373.356632
inf,4371.435871
16.78571429,4369.515595
10.26086957,4367.595803
16.27272727,4365.676494
7.666666667,4363.75767
12.33333333,4361.839329
-53.33333333,4359.921472
-12.6,4358.004099
9,4356.087209
5.153846154,4354.170802
23.64285714,4352.254878
87.5,4350.339437
-8.947368421,4348.424479
-2.529411765,4346.510004
-7.777777778,4344.596012
43.5,4342.682502
4.5,4340.769475
10.4,4338.85693
31.25,4336.944867
-89.33333333,4335.033286
96.33333333,4333.122187
6.307692308,4331.21157
-18.53333333,4329.301435
-13.2,4327.391781
1.769230769,4325.482609
19.66666667,4323.573918
14.63636364,4321.665708
-5.6875,4319.757979
-19.11111111,4317.850732
-7.222222222,4315.943965
-29.6,4314.037679
5.75,4312.131873
3.833333333,4310.226549
-0.24137931,4308.321704
16.25,4306.41734
9.294117647,4304.513456
-64,4302.610052
-57,4300.707127
6.130434783,4298.804683
-8.8,4296.902718
129.6666667,4295.001233
-10.75,4293.100228
26.1,4291.199701
-13.16666667,4289.299654
29.14285714,4287.400086
49,4285.500997
-18.11111111,4283.602386
15.33333333,4281.704255
14.23529412,4279.806602
11.09090909,4277.909427
13.58333333,4276.012731
7.258064516,4274.116513
-27.2,4272.220773
21.77777778,4270.325511
-128.5,4268.430728
2.535714286,4266.536421
-187,4264.642593
55.8,4262.749242
2.555555556,4260.856368
-3.777777778,4258.963972
0.888888889,4257.072053
-59.83333333,4255.180611
11.68181818,4253.289646
5.157894737,4251.399158
11.55555556,4249.509146
13.33333333,4247.619611
-216,4245.730552
8.322580645,4243.84197
18,4241.953864
12.15384615,4240.066234
8.05,4238.179081
-183,4236.292403
-37.1,4234.4062
-88,4232.520474
19.66666667,4230.635223
23,4228.750447
6.347826087,4226.866147
-70,4224.982321
14.42857143,4223.098971
57,4221.216096
21.2,4219.333696
22,4217.45177
12.11111111,4215.570319
8.888888889,4213.689342
6.419354839,4211.80884
12.85714286,4209.928812
-39,4208.049257
1.103448276,4206.170177
15.27272727,4204.291571
7.304347826,4202.413439
7.222222222,4200.53578
3.234042553,4198.658595
20.66666667,4196.781883
5.466666667,4194.905644
4.5,4193.029879
8.178571429,4191.154587
4.238095238,4189.279767
0.285714286,4187.405421
3.068965517,4185.531547
5.295454545,4183.658145
10.36363636,4181.785216
2.58974359,4179.91276
2.145833333,4178.040776
3.266666667,4176.169263
-3.384615385,4174.298223
1.85,4172.427655
3.694444444,4170.557558
3.4,4168.687933
2.375,4166.81878
0.898550725,4164.950098
1.75,4163.081887
1.985507246,4161.214148
3.7,4159.34688
3.760869565,4157.480082
0.39,4155.613755
4.841269841,4153.747899
1.869565217,4151.882514
1.196078431,4150.017599
1.610526316,4148.153155
1.430894309,4146.28918
0.682926829,4144.425676
0.671532847,4142.562642
1.777777778,4140.700078
1.169811321,4138.837984
1.091428571,4136.976359
0.879120879,4135.115204
0.870056497,4133.254518
0.316831683,4131.394301
-0.033613445,4129.534554
0.794871795,4127.675276
0.696832579,4125.816467
0.730434783,4123.958126
0.465437788,4122.100255
-0.127035831,4120.242852
0.334519573,4118.385917
0.452531646,4116.529451
0.833333333,4114.673453
0.834890966,4112.817924
0.152439024,4110.962862
0.511695906,4109.108268
0.286885246,4107.254142
0.339853301,4105.400484
0.360526316,4103.547294
0.053864169,4101.69457
0.069716776,4099.842315
0.433962264,4097.990526
0.247582205,4096.139205
0.285981308,4094.28835
0.342560554,4092.437963
0.289017341,4090.588042
0.057324841,4088.738588
0.055555556,4086.8896
0.058577406,4085.041079
0.080054274,4083.193024
0.126855601,4081.345435
-0.093617021,4079.498313
0.109739369,4077.651656
0.106356968,4075.805466
0.091644205,4073.959741
0.249066002,4072.114481
0.177727784,4070.269687
0.102941176,4068.425359
0.103991597,4066.581496
0.351912568,4064.738097
0.051493306,4062.895164
-0.008780488,4061.052696
0.022482893,4059.210693
0.018744142,4057.369155
0.022624434,4055.528081
0.129432624,4053.687471
0.188859878,4051.847326
0.162162162,4050.007645
0.025951557,4048.168428
0.132045089,4046.329676
-0.006349206,4044.491387
0.086494689,4042.653562
0.297378277,4040.8162
0.129395218,4038.979302
0.219530103,4037.142868
0.043170559,4035.306897
0.168323393,4033.471389
0.072838666,4031.636344
0.073201782,4029.801763
0.092447917,4027.967644
0.162484316,4026.133988
0.123252859,4024.300794
0.024347826,4022.468063
0.066004673,4020.635795
0.024755325,4018.803989
0.100334448,4016.972645
0.113019391,4015.141763
0.106285714,4013.311343
0.137708445,4011.481385
0.111455108,4009.651888
-0.026052104,4007.822853
0.015285996,4005.99428
-0.034260179,4004.166168
0.065195587,4002.338518
0.072340426,4000.511328
0.023980815,3998.6846
0.051640927,3996.858332
0.067561521,3995.032526
-0.020443671,3993.20718
0.011042403,3991.382295
0.097914006,3989.55787
0.059325651,3987.733905
0.034991568,3985.910401
0.044265594,3984.087357
