Intensity,Wavenumber
67.2,4548.223286
173,4546.258445
15.52173913,4544.2941
-129.5,4542.33025
-307,4540.366895
-209.5,4538.404034
54.33333333,4536.441669
inf,4534.479798
9.060606061,4532.518421
14.71428571,4530.557539
79,4528.597152
26.25,4526.637258
45.75,4524.677859
-28.125,4522.718953
19.15,4520.760541
-20.64285714,4518.802623
10.82608696,4516.845198
237,4514.888266
17.7,4512.931828
125,4510.975883
96.5,4509.020431
-14.13333333,4507.065472
-41.57142857,4505.111006
31,4503.157032
24.25,4501.203551
9.617647059,4499.250563
20.2,4497.298066
110,4495.346062
inf,4493.39455
-35.27272727,4491.443529
7.774193548,4489.493001
-68.66666667,4487.542964
-59.66666667,4485.593419
127.3333333,4483.644365
-25.42857143,4481.695802
7.323529412,4479.747731
-31.57142857,4477.80015
-113,4475.853061
87.33333333,4473.906462
83,4471.960354
13.80769231,4470.014737
-64.6,4468.06961
8.6,4466.124974
46,4464.180827
5.333333333,4462.237171
18.85714286,4460.294004
10.26315789,4458.351328
10.11764706,4456.409141
138.3333333,4454.467444
19.91666667,4452.526236
-14.04761905,4450.585517
33.85714286,4448.645288
10.04,4446.705548
-38.33333333,4444.766296
9.357142857,4442.827534
-2,4440.88926
23.4,4438.951475
22.07692308,4437.014179
-153.5,4435.077371
-29.25,4433.141051
18.22222222,4431.205219
30.45454545,4429.269875
28.71428571,4427.335019
11.46666667,4425.400651
44.57142857,4423.46677
12.0625,4421.533377
9,4419.600471
65.4,4417.668052
11.75,4415.736121
118,4413.804677
-19.28571429,4411.873719
-2.4,4409.943249
-20.5625,4408.013265
-13.22222222,4406.083767
8.933333333,4404.154756
30.42857143,4402.226231
inf,4400.298193
8.03125,4398.37064
39.83333333,4396.443574
52.66666667,4394.516993
-6.964285714,4392.590898
-7.5,4390.665288
25.18181818,4388.740164
46,4386.815525
19.18181818,4384.891371
-23.5,4382.967703
43.66666667,4381.044519
20.2,4379.121821
6.5,4377.199606
13.57142857,4375.277877
30,4373.356632
inf,4371.435871
9.142857143,4369.515595
2.826086957,4367.595803
24.09090909,4365.676494
14.08333333,4363.75767
9.388888889,4361.839329
-105,4359.921472
-23.9,4358.004099
25.36363636,4356.087209
11.61538462,4354.170802
9.357142857,4352.254878
52.75,4350.339437
-2.894736842,4348.424479
17.94117647,4346.510004
-19.5,4344.596012
93.5,4342.682502
10.6,4340.769475
11.1,4338.85693
-3,4336.944867
-91.66666667,4335.033286
41.66666667,4333.122187
