Intensity,Wavenumber
-1.941176471,4573.3110412116675
inf,4571.346200655402
-70.125,4569.381855351721
-7.59375,4567.418005176432
6.25,4565.454650005364
7.875000000000044,4563.49179
17.875,4561.529424179489
9.5,4559.5675532765545
34.19999999999845,4557.606176881609
8.75,4555.645294870696
-11.30769231,4553.684907119879
47.100000000001074,4551.725013505295
17.5,4549.765613903093
1.499999999999969,4547.806708189475
1.425000000000008,4545.848296240669
#NAME?,4543.890377932954
-42.5,4541.9329531426465
-43.5,4539.976021746106
-25.125,4538.019583619722
3.300000000000075,4536.063638639929
2.3823529411764865,4534.108186683197
6.000000000000137,4532.153227626042
-11.75,4530.198761
1.6799999999999924,4528.244787716712
14.333333333333334,4526.291306617752
64.49999999999267,4524.338317924818
-12,4522.385821514608
24.562499999999304,4520.433817263873
-6.847826087,4518.482305049407
6.1071428571429065,4516.531284748022
-65.8125,4514.580756236597
-3.675,4512.630719392031
5.999999999999318,4510.681174091276
-39,4508.73212
-19.2,4506.783557629142
45.30000000000103,4504.835486221846
-0.9,4502.887905866524
7.439999999999966,4500.940816440319
10.392857142856974,4498.994217820402
35.4,4497.048109883986
-99,4495.102492508335
2.9117647058823724,4493.157365570749
8.53125,4491.212728948556
13.500000000000767,4489.268582519127
3.600000000000082,4487.324926159878
-2,4485.381759748254
15.833333333333334,4483.439083161758
3.4199999999999844,4481.496896277915
95.99999999998909,4479.5551989742835
-30.375,4477.613991128479
15.74999999999982,4475.673272618142
6.25,4473.733043320963
-13.17857143,4471.793303114655
-20.5,4469.854051876997
-3,4467.915289485771
-4.655172414,4465.977015818828
16.50000000000017,4464.039230754044
3.600000000000082,4462.101934169334
-14.1,4460.165125942649
10.874999999999691,4458.2288059520015
-29,4456.2929740754025
16.499999999998124,4454.357630190936
14.812500000000211,4452.422774176697
9.857142857142938,4450.488405910857
8.318181818181646,4448.554525271591
-3.789473684,4446.621132137121
28.49999999999676,4444.688226385721
37,4442.7558078956845
2.5384615384615827,4440.823876545359
-14.5,4438.892432213115
1.269230769230758,4436.961475
-4.8,4435.031004116621
10,4433.101020109314
14,4431.171522634004
11.700000000000067,4429.242511569255
-0.84375,4427.313986793675
-2,4425.385948185927
-23.35714286,4423.458395624692
-4.68,4421.531328988689
80.24999999999088,4419.604748156684
13.125000000000187,4417.678653007488
-1.363636364,4415.753043419927
-2.052631579,4413.827919272893
8.289473684210476,4411.903280445296
-3.222222222,4409.979127
-3.9375,4408.055458264274
11.916666666666666,4406.132274668873
74.375,4404.209575908959
13.44230769230775,4402.287361863642
28.79999999999869,4400.365632412062
26.4,4398.444387433412
-56,4396.5236268069075
6.25,4394.603350411808
23.812500000000338,4392.683558127412
-7.333333333,4390.764249833062
0.29999999999998633,4388.845425408128
9.074999999999896,4386.927085
-3.75,4385.0092276841915
0.5,4383.091854
7.625,4381.174963991363
-53.5,4379.258557105457
10.499999999999702,4377.3426333660045
1.3124999999999907,4375.427192652654
9.681818181818132,4373.512234845084
-12.16666667,4371.597759823004
7.607142857142733,4369.683767466167
-12.61764706,4367.770257654376
17.181818181817828,4365.857230267449
21.937500000000313,4363.944685185261
2,4362.032622
6.272727272727337,4360.121041
-0.607142857,4358.209942566338
-34.125,4356.299325502519
-25.71428571,4354.389190143329
30,4352.479536368874
-10.41666667,4350.570364059282
8.464285714285783,4348.661673094726
-8.538461538,4346.7534633554005
#NAME?,4344.845734721557
37.49999999999939,4342.938487073485
-8.076923077,4341.03172
5.1315789473684825,4339.125434255935
-1.3125,4337.2196288472205
-3,4335.314303945774
-12.35294118,4333.409459
-5.175,4331.505095186587
1.7926829268292732,4329.601211089905
-163.5,4327.6978070225905
1.75,4325.794882865272
-4.965517241,4323.892438
9.75,4321.990473803266
-10.6,4320.088988660018
-41.5,4318.187982949601
10.650000000000242,4316.287456552842
-16.875,4314.387409350567
-64.5,4312.487841223678
6.529411764705795,4310.588752053072
3.8571428571429824,4308.690141719728
