Intensity,Wavenumber
131.2,4548.223286
343.5,4546.258445
31.73913043,4544.2941
-326,4542.33025
-588,4540.366895
-337.5,4538.404034
220,4536.441669
inf,4534.479798
17.36363636,4532.518421
105.1428571,4530.557539
97.83333333,4528.597152
60.83333333,4526.637258
83.125,4524.677859
-45.875,4522.718953
19.85,4520.760541
-37.85714286,4518.802623
24,4516.845198
629,4514.888266
23.5,4512.931828
163.3333333,4510.975883
310.5,4509.020431
-39.33333333,4507.065472
-88.85714286,4505.111006
49,4503.157032
80.875,4501.203551
13.41176471,4499.250563
50.8,4497.298066
188,4495.346062
inf,4493.39455
-46.18181818,4491.443529
16.12903226,4489.493001
-140,4487.542964
-199.6666667,4485.593419
96.33333333,4483.644365
-62.71428571,4481.695802
13.47058824,4479.747731
-69.28571429,4477.80015
-291,4475.853061
117.6666667,4473.906462
189.3333333,4471.960354
16.15384615,4470.014737
-96.4,4468.06961
26.4,4466.124974
87.6,4464.180827
123.6666667,4462.237171
32.64285714,4460.294004
25.42105263,4458.351328
18.76470588,4456.409141
129.6666667,4454.467444
39.41666667,4452.526236
-10.33333333,4450.585517
71.42857143,4448.645288
21.96,4446.705548
-46.66666667,4444.766296
17.64285714,4442.827534
172.6666667,4440.88926
51.6,4438.951475
12.69230769,4437.014179
-265.5,4435.077371
-31.08333333,4433.141051
59.66666667,4431.205219
31.54545455,4429.269875
56,4427.335019
19.46666667,4425.400651
50.85714286,4423.46677
32.9375,4421.533377
63.2,4419.600471
100.2,4417.668052
18.0625,4415.736121
146.5,4413.804677
-67.71428571,4411.873719
-72.4,4409.943249
-19.5625,4408.013265
-59.77777778,4406.083767
40.66666667,4404.154756
48.71428571,4402.226231
inf,4400.298193
8.53125,4398.37064
68.66666667,4396.443574
161,4394.516993
-16.28571429,4392.590898
-22.625,4390.665288
48.45454545,4388.740164
65,4386.815525
33.72727273,4384.891371
-39.7,4382.967703
114.6666667,4381.044519
45.4,4379.121821
10.46875,4377.199606
13,4375.277877
42.42857143,4373.356632
inf,4371.435871
30.64285714,4369.515595
19.2173913,4367.595803
31,4365.676494
34.33333333,4363.75767
13.55555556,4361.839329
-152.3333333,4359.921472
-25.7,4358.004099
23.18181818,4356.087209
27.38461538,4354.170802
30.28571429,4352.254878
86.75,4350.339437
-23.10526316,4348.424479
7.470588235,4346.510004
-22.44444444,4344.596012
264.5,4342.682502
24.35,4340.769475
38.4,4338.85693
92,4336.944867
-127.6666667,4335.033286
126,4333.122187
26.07692308,4331.21157
-19.4,4329.301435
-45.4,4327.391781
25,4325.482609
90.66666667,4323.573918
17,4321.665708
-13.625,4319.757979
-34.66666667,4317.850732
-7.814814815,4315.943965
-78.4,4314.037679
33.91666667,4312.131873
24.27777778,4310.226549
-7.103448276,4308.321704
66.25,4306.41734
16,4304.513456
-112,4302.610052
-175,4300.707127
10.43478261,4298.804683
11.36,4296.902718
-68.66666667,4295.001233
-28.33333333,4293.100228
40.4,4291.199701
-20.66666667,4289.299654
51,4287.400086
307,4285.500997
-32.33333333,4283.602386
80.33333333,4281.704255
20.17647059,4279.806602
37.45454545,4277.909427
21.25,4276.012731
7.935483871,4274.116513
-46.6,4272.220773
36,4270.325511
-136.5,4268.430728
6.107142857,4266.536421
-192,4264.642593
68,4262.749242
7.888888889,4260.856368
-17,4258.963972
-33.44444444,4257.072053
-34.16666667,4255.180611
10.13636364,4253.289646
24.15789474,4251.399158
22.83333333,4249.509146
3.333333333,4247.619611
-271,4245.730552
3.225806452,4243.84197
14.8,4241.953864
11.5,4240.066234
11.45,4238.179081
-264,4236.292403
-25.5,4234.4062
-107.75,4232.520474
11.86666667,4230.635223
238,4228.750447
5.52173913,4226.866147
-368,4224.982321
46.42857143,4223.098971
22.6,4221.216096
57.8,4219.333696
58.75,4217.45177
7.944444444,4215.570319
4.592592593,4213.689342
6.064516129,4211.80884
10.28571429,4209.928812
-59.4,4208.049257
4.724137931,4206.170177
30.81818182,4204.291571
5.52173913,4202.413439
12.48148148,4200.53578
5.319148936,4198.658595
23.5,4196.781883
24.46666667,4194.905644
7.607142857,4193.029879
10.10714286,4191.154587
3.19047619,4189.279767
10.19047619,4187.405421
4.931034483,4185.531547
5.681818182,4183.658145
23.63636364,4181.785216
7.153846154,4179.91276
4.645833333,4178.040776
5.866666667,4176.169263
5.358974359,4174.298223
3.183333333,4172.427655
9.472222222,4170.557558
1.236363636,4168.687933
1.796875,4166.81878
5.246376812,4164.950098
0.85,4163.081887
2.246376812,4161.214148
1.1,4159.34688
4.826086957,4157.480082
1.76,4155.613755
3.095238095,4153.747899
2,4151.882514
2.147058824,4150.017599
0.789473684,4148.153155
2.105691057,4146.28918
1.12195122,4144.425676
1.065693431,4142.562642
2.866666667,4140.700078
1.496855346,4138.837984
0.411428571,4136.976359
0.637362637,4135.115204
1.802259887,4133.254518
0.594059406,4131.394301
0.987394958,4129.534554
1.907692308,4127.675276
