Intensity,Wavenumber
65.6,4548.223286
100,4546.258445
8.086956522,4544.2941
-135.5,4542.33025
-101,4540.366895
-57,4538.404034
54,4536.441669
inf,4534.479798
14.39393939,4532.518421
20.28571429,4530.557539
10.83333333,4528.597152
15.08333333,4526.637258
11.5,4524.677859
-26.375,4522.718953
10,4520.760541
-10.78571429,4518.802623
0.260869565,4516.845198
91,4514.888266
10.7,4512.931828
74.33333333,4510.975883
68.5,4509.020431
-8.933333333,4507.065472
-44.14285714,4505.111006
0.1,4503.157032
10.125,4501.203551
7.617647059,4499.250563
27.6,4497.298066
59.33333333,4495.346062
inf,4493.39455
-13.36363636,4491.443529
5.580645161,4489.493001
-37.66666667,4487.542964
-54.33333333,4485.593419
86,4483.644365
-19.14285714,4481.695802
2.941176471,4479.747731
-9.285714286,4477.80015
-39.5,4475.853061
-6.333333333,4473.906462
3.666666667,4471.960354
9.807692308,4470.014737
-55.2,4468.06961
6.72,4466.124974
23,4464.180827
62.66666667,4462.237171
8.571428571,4460.294004
16.15789474,4458.351328
3.411764706,4456.409141
103.3333333,4454.467444
25.83333333,4452.526236
-4.142857143,4450.585517
33.14285714,4448.645288
9.68,4446.705548
-9.888888889,4444.766296
1.035714286,4442.827534
37.66666667,4440.88926
23.4,4438.951475
14.38461538,4437.014179
-23,4435.077371
-7.666666667,4433.141051
22.11111111,4431.205219
9.454545455,4429.269875
44.14285714,4427.335019
6.866666667,4425.400651
21.71428571,4423.46677
-0.875,4421.533377
24.6,4419.600471
12.6,4417.668052
6,4415.736121
72.5,4413.804677
-19.71428571,4411.873719
-20,4409.943249
-11.25,4408.013265
-20,4406.083767
13.4,4404.154756
9.428571429,4402.226231
inf,4400.298193
7,4398.37064
26.83333333,4396.443574
42.66666667,4394.516993
-2.5,4392.590898
-15.625,4390.665288
3.818181818,4388.740164
33.2,4386.815525
11.09090909,4384.891371
-7.2,4382.967703
9,4381.044519
21.5,4379.121821
7.34375,4377.199606
2.19047619,4375.277877
10.85714286,4373.356632
inf,4371.435871
6.785714286,4369.515595
7.391304348,4367.595803
11.18181818,4365.676494
3.166666667,4363.75767
11,4361.839329
-71.33333333,4359.921472
-4.4,4358.004099
11,4356.087209
1.076923077,4354.170802
20.78571429,4352.254878
71,4350.339437
-5.315789474,4348.424479
-4.411764706,4346.510004
-7.888888889,4344.596012
1.5,4342.682502
5.7,4340.769475
8.3,4338.85693
41.25,4336.944867
-54,4335.033286
33.33333333,4333.122187
5.538461538,4331.21157
-10.66666667,4329.301435
1.4,4327.391781
9.846153846,4325.482609
2.333333333,4323.573918
8.363636364,4321.665708
-0.8125,4319.757979
-10.66666667,4317.850732
-4.518518519,4315.943965
-3.4,4314.037679
5.833333333,4312.131873
-0.611111111,4310.226549
-1.551724138,4308.321704
26.75,4306.41734
0.647058824,4304.513456
-41,4302.610052
-80,4300.707127
3.652173913,4298.804683
-14.44,4296.902718
134.1666667,4295.001233
-6.145833333,4293.100228
13.95,4291.199701
-7.854166667,4289.299654
22.57142857,4287.400086
-25,4285.500997
1.111111111,4283.602386
-4.666666667,4281.704255
10.11764706,4279.806602
8.454545455,4277.909427
6,4276.012731
2.225806452,4274.116513
-13.4,4272.220773
12.55555556,4270.325511
-63.5,4268.430728
1.964285714,4266.536421
-180,4264.642593
32.8,4262.749242
1.888888889,4260.856368
-9.444444444,4258.963972
-3.666666667,4257.072053
-48.16666667,4255.180611
6.954545455,4253.289646
2.894736842,4251.399158
10.38888889,4249.509146
13.85714286,4247.619611
-161,4245.730552
3.806451613,4243.84197
10.6,4241.953864
11,4240.066234
8.95,4238.179081
-59,4236.292403
-26.4,4234.4062
-58.75,4232.520474
13,4230.635223
-92,4228.750447
3.260869565,4226.866147
-50,4224.982321
4.714285714,4223.098971
17.8,4221.216096
-3.2,4219.333696
17.75,4217.45177
7.388888889,4215.570319
7.259259259,4213.689342
2.483870968,4211.80884
9.523809524,4209.928812
-32.4,4208.049257
0.25862069,4206.170177
6.363636364,4204.291571
-1.173913043,4202.413439
2.407407407,4200.53578
-1.361702128,4198.658595
18,4196.781883
1.8,4194.905644
2.428571429,4193.029879
6.321428571,4191.154587
1.80952381,4189.279767
4.761904762,4187.405421
0.568965517,4185.531547
3.136363636,4183.658145
10.68181818,4181.785216
0.641025641,4179.91276
-0.145833333,4178.040776
3.333333333,4176.169263
-6.230769231,4174.298223
-0.716666667,4172.427655
1.666666667,4170.557558
0.763636364,4168.687933
1.484375,4166.81878
0.753623188,4164.950098
1.075,4163.081887
-0.275362319,4161.214148
2.085714286,4159.34688
1.304347826,4157.480082
0.09,4155.613755
3.793650794,4153.747899
0.695652174,4151.882514
1.294117647,4150.017599
1.610526316,4148.153155
1.715447154,4146.28918
0.479674797,4144.425676
0.175182482,4142.562642
0.42962963,4140.700078
0.842767296,4138.837984
1.205714286,4136.976359
0.741758242,4135.115204
0.011299435,4133.254518
-0.103960396,4131.394301
-0.134453782,4129.534554
0.21025641,4127.675276
0.542986425,4125.816467
0.913043478,4123.958126
0.221198157,4122.100255
-0.078175896,4120.242852
-0.380782918,4118.385917
0.155063291,4116.529451
0.574404762,4114.673453
0.635514019,4112.817924
0.37804878,4110.962862
0.596491228,4109.108268
-0.040983607,4107.254142
0.034229829,4105.400484
0.081578947,4103.547294
-0.112412178,4101.69457
-0.087145969,4099.842315
0.401372213,4097.990526
0.088974855,4096.139205
0.256074766,4094.28835
0.230103806,4092.437963
0.225433526,4090.588042
0.138535032,4088.738588
0.141414141,4086.8896
0.110181311,4085.041079
0.10990502,4083.193024
0.074224022,4081.345435
-0.119148936,4079.498313
0.030178326,4077.651656
0.12591687,4075.805466
-0.141509434,4073.959741
0.220423412,4072.114481
0.088863892,4070.269687
0.238687783,4068.425359
0.109243697,4066.581496
0.206557377,4064.738097
0.05561277,4062.895164
-0.012682927,4061.052696
-0.060606061,4059.210693
-0.016869728,4057.369155
0.141176471,4055.528081
0.139184397,4053.687471
0.269799826,4051.847326
0.157939189,4050.007645
0.001730104,4048.168428
0.115136876,4046.329676
-0.058730159,4044.491387
0,4042.653562
0.197003745,4040.8162
0.11673699,4038.979302
0.064610866,4037.142868
0.070771408,4035.306897
0.110669317,4033.471389
0.089857046,4031.636344
0.04137492,4029.801763
0.054036458,4027.967644
0.142409034,4026.133988
0.134688691,4024.300794
0.059710145,4022.468063
0.039135514,4020.635795
0.033390904,4018.803989
0.129319955,4016.972645
0.115235457,4015.141763
0.072571429,4013.311343
0.087143626,4011.481385
0.062435501,4009.651888
-0.053607214,4007.822853
0.012820513,4005.99428
-0.047666336,4004.166168
0.078234704,4002.338518
0.013711584,4000.511328
-0.002877698,3998.6846
0.005791506,3996.858332
0.082326622,3995.032526
-0.031317964,3993.20718
0.0795053,3991.382295
0.058322691,3989.55787
0.072983355,3987.733905
0.008431703,3985.910401
0.025754527,3984.087357
0.061703822,3982.264773
0.012576065,3980.442649
0.005683971,3978.620985
0.029378531,3976.79978
0.043653705,3974.979035
0.080952381,3973.15875
-0.020241477,3971.338923
0.074832333,3969.519556
0.046848088,3967.700649
0.045834849,3965.8822
0.022444751,3964.06421
0.064978341,3962.246679
0.017886717,3960.429606
0.044357469,3958.612992
0.027777778,3956.796837
0.069641242,3954.98114
0.045098039,3953.165901
0.051940299,3951.35112
0.012782402,3949.536798
0.039654144,3947.722933
0.055276382,3945.909526
0.02573852,3944.096576
0.038092469,3942.284084
0.0604782,3940.47205
0.019812878,3938.660473
0.008082497,3936.849353
0.075421236,3935.03869
0.030440587,3933.228484
